FIRST NAME ,LAST NAME ,EMAIL
Nancy ,Waihuni,nancywaihuni@gmail.com
Simon,Karemu,simonkaremu@gmail.com
Kevin,Kithinji,kevinkithinji@gmail.com
Linda,Mwarania,lindamwarania@gmail.com
Melissa,Mwendwa,melissamwendwa@gmail.com
Philip,Ochola,philipochola@gmail.com
Christine,Wanza,christinewanza@gmail.com
Agnes,Khumasi,agneskhumasi@gmail.com
Thomas,Braimoh,thomasbraimoh@gmail.com
Chico,Lico,chicolico@gmail.com
Juliet ,Mwikali,julietmwikali@gmail.com
Joshua,Kariuki,joshuakariuki@gmail.com
Bianca,Wairimu,biancawairimu@gmail.com
Britney,Kwale,britneykwale@gmail.com
Ivy,Wanjiku,ivywanjiku@gmail.com
Raphael,Kioko,raphaelkioko@gmail.com
Alex,Mwangi,alexmwangi@gmail.com
Fredrick,Muchoki,fredrickmuchoki@gmail.com
Peter,Njuguna,peternjuguna@gmail.com
Paula,Okello,paulaokello@gmail.com
Toni,Wanjiru,toniwanjiru@gmail.com
Keza,Anyango,kezaanyango@gmail.com
Sophia,Mtalii,sophiamtalii@gmail.com
Rachael,Hughes,rachaelhughes@gmail.com
Eliud,Kipchoge,eliudkipchoge@gmail.com
John,Kamau,johnkamau@gmail.com
Ian,Njagi,iannjagi@gmail.com
Steve,Onyango,steveonyango@gmail.com
Joan,Kibet,joankibet@gmail.com
Maina,Kirubi,mainakirubi@gmail.com
Bob,Kitazi,bobkitazi@gmail.com
Mercy,Karuga,mercykaruga@gmail.com
Grace,John,gracejohn@gmail.com
Ruth,Kadiri,ruthkadiri@gmail.com
